Category Name,Category ID
"Campy Horror Movies",1155
"Campy Independent Action & Adventure",3750
"Campy Independent Crime Comedies",1176
"Campy Independent Dramas",4562
"Campy Independent Movies",803
"Campy Independent Satires",2255
"Campy Independent Sci-Fi & Fantasy",4079
"Campy Late Night Comedies",3885
"Campy Mysteries",4196
"Campy Psychological Movies",3899
"Campy Sci-Fi & Fantasy",1194
"Campy Sci-Fi Horror Movies",4140
"Campy Slasher and Serial Killer Movies",1646
"Campy Thrillers",3226
"Campy Zombie Movies",1515
"Canadian Movies & TV",107519
"Cannes Film Festival",81610996
"Car & Motorsport Movies",49944
"Car Culture Shows",753
"Cardio & Aerobics Workouts",711
"Career & Finance",2560
"Casual Viewing",2691054
"Celebrate Asian American & Pacific Islander Stories - Netflix",3137292
"Celebrate Hispanic Heritage",82135590
"Celebrate Pride Month",81289595
"Celebrating Arab Cinema",81522213
"Celebrating Disability with Dimension",81621298
"Celebrating Hispanic Heritage",81335113
"Celebrating Hispanic Heritage",2869688
"Cerebral Action & Adventure",4778
"Cerebral Biographical Dramas",127
"Cerebral Biographical Movies",4518
"Cerebral British Dramas",896
"Cerebral British Movies",2434
"Cerebral Comedies",1119
"Cerebral Crime Dramas",3726
"Cerebral Dramas",2295
"Cerebral Experimental Movies",2747
"Cerebral Foreign Crime Dramas",506
"Cerebral Foreign Political Dramas",2742
"Cerebral Foreign War Movies",157
"Cerebral French-Language Crime Dramas",2935
"Cerebral French-Language Dramas",4521
"Cerebral French-Language Movies",3623
"Cerebral Independent Biographical Movies",2518
"Cerebral Independent Comedies",1474
"Cerebral Independent Crime Movies",3717
"Cerebral Independent Movies",551
"Cerebral Independent Political Movies",368
"Cerebral Italian Dramas",1553
"Cerebral Japanese Dramas",3720
"Cerebral Military Movies",3156
"Cerebral Movies",1813
"Cerebral Political Dramas",814
"Cerebral Political Movies",3152
"Cerebral Scandinavian Movies",995
"Children & Family",783
"Children & Family TV",81246414
"Children’s & Family Emmy Nominees",81657914
"Chilean Movies & TV",1305303
"Chilly Thrillers",81462150
"Chinese",3960
"Chinese Crime Comedies",2942
"Chinese Crime Dramas",371
"Chinese Fantasy Movies",3695
"Chinese Gay & Lesbian Movies",94
"Chinese Horror Movies",2231
"Chinese Movies & TV",100375
"Chinese Sci-Fi & Fantasy",140
"Chinese Thrillers",2292
"Chosen Family",81231348
"Christmas Comedies",1474015
"Christmas Family Movies",81622297
"Cinematography 101",81582655
"Classic Action & Adventure",46576
"Classic Comedies",31694
"Classic Country & Western",2994
"Classic Dramas",29809
"Classic Foreign Movies",32473
"Classic Jazz",2188
"Classic Movies",31574
"Classic Musicals",32392
"Classic Romantic Movies",31273
"Classic Sci-Fi & Fantasy",47147
"Classic Thrillers",46588
"Classic TV Shows",46553
"Classic War Movies",48744
"Classic Westerns",47465
"Classical Instrumental Music",218
"Comedies",6548
"Comedies about Friendship",1497004
"Comedy Blockbusters",1003219
"Comic Book and Superhero Movies",10118
"Coming-of-age Movies",4032
"Competition Reality TV",49266
"Computer Animation",4493
"Computers & Electronics",4981
"Controlling Chaos: Behind the Scenes of The Witcher",81517754
"Controversial Comedies",1948
"Controversial Documentaries",1690
"Controversial Foreign Movies",2273
"Controversial Gay & Lesbian Movies",807
"Controversial Political Movies",593
"Controversial Social & Cultural Documentaries",1070
"Cooking Instruction",2853
"Country & Western/Folk",1105
"Courtroom Action & Adventure",2572
"Courtroom Comedies",599
"Courtroom Documentaries",1078
"Courtroom Dramas",2748
"Courtroom Mysteries",1111
"Courtroom Thrillers",80
"Courtroom TV Dramas",25955
"Creature Features",6895
"Crime Action & Adventure",9584
"Crime Binge",2694067
"Crime Comedies",4058
"Crime Deadly Disasters",3698
"Crime Documentaries",9875
"Crime Dramas",6889
"Crime Historical Documentaries",2846
"Crime Late Night Comedies",2506
"Crime Movies",5824
"Crime Sci-Fi Horror Movies",2769
"Crime Social & Cultural Documentaries",3375
"Crime Thrillers",10499
"Crime Time Travel Movies",574
"Crime TV Shows",26146
"Crime-Fighting Women",2991687
"Critically Acclaimed Dark TV Programmes",2236979
"Critically Acclaimed Documentaries",8673
"Critically Acclaimed Films",3979
"Cult Action & Adventure",2213
"Cult B-Horror Movies",2622
"Cult Comedies",9434
"Cult Crime Comedies",1571
"Cult Horror Movies",10944
"Cult Movies",7627
"Cult Psychological Horror Movies",186
"Cult Satanic Stories",3527
"Cult Sci-Fi & Fantasy",4734
"Cult Sci-Fi Thrillers",2521
"Cult TV Shows",74652
"Culture & Food Across Asia & Pacific Islands",81453982
"Cyberpunk",1964512
"Czech Films & TV",100376
"Czech Movies",1697
"Dance Workouts",1498
"Dark Action Sci-Fi & Fantasy",1452
"Dark Alien Sci-Fi",3166
"Dark British Dramas",494
"Dark British Independent Dramas",831
"Dark British Independent Movies",666
"Dark British Political Movies",2414
"Dark British Thrillers",1556
"Dark Comedies",869
"Dark Courtroom Dramas",4844
"Dark Documentaries",1783
"Dark Dramas",2436
"Dark Experimental Movies",3686
"Dark Fantasy Anime",2691049
"Dark Foreign Action & Adventure",2454
"Dark Foreign Gay & Lesbian Dramas",52
"Dark Foreign Movies",2382
"Dark Foreign Psychological Movies",3155
"Dark Foreign Sci-Fi & Fantasy",3367
"Dark Foreign War Movies",4410
"Dark French-Language Political Movies",3958
"Dark French-Language Thrillers",2051
"Dark Gay & Lesbian Dramas",4539
"Dark Historical Documentaries",2225
"Dark Independent Comedies",1064
"Dark Independent Dramas",232
"Dark Independent Movies",1763
"Dark Independent Mysteries",4694
"Dark Independent Political Dramas",942
"Dark Independent Political Movies",2118
"Dark Independent Psychological Movies",4769
"Dark Independent Showbiz Dramas",3627
"Dark Independent Showbiz Movies",1108
"Dark Independent Thrillers",3678
"Dark Italian Dramas",1138
"Dark Italian Movies",3163
"Dark Japanese Dramas",3302
"Dark Military Action & Adventure",1669
"Dark Military Dramas",430
"Dark Military Historical Documentaries",1607
"Dark Military Movies",2784
"Dark Political Historical Documentaries",4256
"Dark Political Movies",2685
"Dark Political Thrillers",3751
"Dark Russian Dramas",2310
"Dark Scandinavian Movies",1974
"Dark Sci-Fi & Fantasy",3592
"Dark Sci-Fi Thrillers",1374
"Dark Showbiz Dramas",1910
"Dark Showbiz Movies",3553
"Dark Spiritual Documentaries",2667
"Dark Sports Movies",4198
"Dark Spy Movies",1790
"Dark Tearjerkers",1061
"Dark War Documentaries",2785
"Dark War Movies",2611
"Dark Westerns",2012
"Daytime Emmy Winners & Nominees",81496966
"DC Comics",2076672
"Deadpan",108479
"Deadpan Comedies",77219
"Deep Sea Horror Movies",45028
"Detective Action & Adventure",3040
"Detective Dramas",3378
"Disco",3493
"Discovery Channel Documentaries",213
"Discovery Channel TV Shows",1233
"Disney",67673
"Disney Movies",65437
"Disney Musicals",59433
"Diva Worship",81290116
"Documentaries on IMAX",3997
"Documentary Films",2243108
"Docuseries",10105
"Don't Watch Hungry",3272152
"Dramas",5763
"Drug Lords, Mob Bosses, and Gangsters",2202980
"Dutch Movies",10606
"Dutch Movies & TV",100390
"Dysfunctional-family TV Programmes",27560
"Dystopian Futures",2299461
"East Asian Movies & TV",109007
"Eastern European Comedies",3892
"Eastern European Crime Dramas",24
"Eastern European Films",5254
"Eastern European Political Dramas",2374
"Eastern European Political Movies",4208
"Education for Kids",10659
"Emmy Award Winners",109298
"Emmy-winning Animation",804350
"Emmy-winning Binge-worthy TV Programmes",1189238
"Emmy-winning Films",90975
"Emmy-winning TV Dramas",90913
"Emmy-Winning TV Programmes",90911
"Emotional",100039
"Emotional Action & Adventure",2235
"Emotional Biographical Documentaries",3046
"Emotional Biographical Movies",1998
"Emotional Comedies",323
"Emotional Courtroom Dramas",53
"Emotional Documentaries",1271
"Emotional Epics",52982
"Emotional Foreign Crime Movies",2256
"Emotional Foreign Movies",1942
"Emotional German-Language Movies",1309
"Emotional Independent Crime Movies",1943
"Emotional Independent Dramas",3743
"Emotional Independent Political Movies",592
"Emotional Movies",4136
"Emotional Political Dramas",3874
"Emotional Psychological Dramas",352
"Emotional Showbiz Movies",3074
"Emotional Sports Dramas",1734
"Emotional Teen Dramas",1593
"Emotional Teen Movies",694
"Emotional Thrillers",3180
"Emotional TV Programmes",25833
"End-of-the-World Movies",19201
"English Movies & TV",107548
"Ensemble Films",70031
"Ensemble Sitcoms",70659
"Epic Worlds",81232239
"Epics",52858
"Essential Horror Flicks",8711
"European Films",89708
"European Movies & TV",109012
"European Programmes",89663
"Everyone's Home for the Holidays",81735842
"Exciting",100041
"Exciting Action Sci-Fi & Fantasy",3139
"Exciting B-Horror Movies",2852
"Exciting Biographical Movies",2680
"Exciting British Movies",2246
"Exciting Children & Family Movies",2381
"Exciting Creature Features",3028
"Exciting Crime Action Sci-Fi & Fantasy",4110
"Exciting Crime Sci-Fi Thrillers",4904
"Exciting Cult Movies",1752
"Exciting Dramas",2966
"Exciting Foreign Comedies",3282
"Exciting Foreign Crime Dramas",1489
"Exciting Foreign Crime Movies",2448
"Exciting Foreign Dramas",3969
"Exciting Foreign Horror Movies",3272
"Exciting Foreign Sci-Fi & Fantasy",1288
"Exciting Foreign War Movies",837
"Exciting French-Language Dramas",4307
"Exciting Horror Films",11723
"Exciting Independent Crime Movies",4375
"Exciting Independent Dramas",3363
"Exciting Japanese Movies",470
"Exciting Kids' TV",27096
"Exciting Military Documentaries",1685
"Exciting Military Dramas",3848
"Exciting Monster Movies",2832
"Exciting Movies",5343
"Exciting Reality TV",40240
"Exciting Sci-Fi & Fantasy",253
"Exciting Slasher and Serial Killer Movies",3388
"Exciting Vampire Movies",2949
"Exciting War Action Sci-Fi & Fantasy",2638
"Experimental Crime Movies",2796
"Experimental Dramas",2205
"Experimental Horror Movies",2626
"Experimental Movies",11079
"Experimental Sci-Fi & Fantasy",2570
"Explosive Movies",81388367
"Extreme Sports Compilations",4045
"Faith & Spirituality",26835
"Faith & Spirituality Movies",52804
"Familiar Favourites",3052090
"Familiar TV Favorites",81287693
"Family Feature Animation",51058
"Family Features",51056
"Family Watch-together Films",2142378
"Fantasy Movies",9744
"Feel-Good",100058
"Feel-good African-American Movies",322
"Feel-good Australian Movies",879
"Feel-good Biographical Dramas",1021
"Feel-good British Movies",3174
"Feel-good Children & Family Movies",4505
"Feel-good Comedies",943
"Feel-good Coming-of-age Movies",1968
"Feel-good Cult Comedies",1912
"Feel-good Dramas",8860
"Feel-good Films",10579
"Feel-good Foreign Comedies",84
"Feel-good Gay & Lesbian Movies",3788
"Feel-good Independent Comedies",2027
"Feel-good Independent Movies",2607
"Feel-good Satires",1235
"Feel-good Showbiz Dramas",2786
"Feel-good Showbiz Movies",1074
"Feel-good Social & Cultural Documentaries",1016
"Feel-good Sports Comedies",914
"Feel-good Spy Movies",4224
"Feel-good Teen Coming-of-age Comedies",1301
"Feel-good Teen Dramas",4793
"Feel-good Teen Movies",2548
"Feel-good Westerns",2088
"Festival Focus: Cannes, Venice & Berlin",81190111
"Festival Focus: Sundance, SXSW & TIFF",81190112
"Filipino Gay & Lesbian Dramas",1993
"Filipino Gay & Lesbian Movies",2465
"Filipino Horror Movies",2010
"Filipino Movies & TV",100391
"Filipino Sci-Fi & Fantasy",885
"Film Noir",7687
"Films Written By Women",81225828
"Fitness",81664146
"Food & Travel TV",72436
"Food & Wine",3890
"Food for Hungry Brains",81272748
"Food Shows",39135
"Football Movies",12803
"Foreign Action & Adventure",11828
"Foreign Action Sci-Fi & Fantasy",3985
"Foreign Adventures",3912
"Foreign Alien Sci-Fi",3264
"Foreign B-Horror Movies",874
"Foreign Children & Family",3277
"Foreign Comedies",4426
"Foreign Coming-of-age Comedies",1311
"Foreign Coming-of-age Dramas",906
"Foreign Crime Documentaries",340
"Foreign Crime Sci-Fi & Fantasy",4311
"Foreign Cult Horror Movies",1256
"Foreign Cult Movies",4089
"Foreign Documentaries",5161
"Foreign Dramas",2150
"Foreign Experimental Dramas",4405
"Foreign Gay & Lesbian Comedies",1879
"Foreign Gay & Lesbian Crime Dramas",2496
"Foreign Gay & Lesbian Dramas",4862
"Foreign Gay & Lesbian Movies",8243
"Foreign Horror Movies",8654
